מס',כלל,הסבר הכלל,מקור,Ver,חסר
72,במה הכתוב מדבר,"פירוש למד מענינו כל דבר סתום שאין מפורש בו 
במה מדבר מדה בתורה שנלמוד מן הענין המפורש הסמוך לו. (לא תגנוב)",הליכות עולם ,11,
73,במה הענין מדבר, = דבר הלמד מענינו : שנלמוד מן הענין המפורש הסמוך לו,הליכות עולם ,11,
74,במשמעות ריבויי ומיעוטי,"מי שדורש כללי ופרטי הוי הפרט פירוש של הכלל
מי שדורש ריבויי ומיעוטי אין הפרט פירוש אלא מיעוט שממעט מקצת ומניח מקצת",הליכות עולם ,11,
75,בנין אב,"שהכתוב יגלה ויפרש במקום אחד, וממנו למדין בכל המקומות הדומין לו","של""ה",11,
76,בנין אב משני כתובים,"למדים מהצד השוה של שתי הכתובים (ראב""ד)","של""ה",11,
77,בעי מיניה,"שאלה מאמורא על אמורא
בנושא זה קא מבעיא לי אם דינו בנושא ראשון או דינו בנושא שני ",כללי שמואל,11,
78,בשלמא,צריך לשאול איזה דוחק יש על אותו אמורא שאמרו עליו בשלמא ,יד מלאכי ,11,
79,גוזמא,"1. דבר שלא יתכן במציאות 
2. דבר שלא מתקבל על הדעת ",הליכות אלי ,11,
80,גופא,כשעוברים לדון על ברייתא או מימרא שהובאה במקרה קודם והופכים את הדיון לעצם העניין,"של""ה",7,
81,גזירה,"גוזרים רק על דבר מדאורייתא
גוזרים רק על דברים דומים שיכול אדם להחליף ביניהם ",הליכות עולם,11,
82,גזר הא אטו הא,לאו גזירה אלא  קנסא ,יד מלאכי ,11,
83,גמירי \  הלכתא גמירי לה ,הלכה למשה מסיני,הליכות עולם,9,
84,דאורייתא,דרבנן - יש לו סמך בקרא ,רבי ישראל יעקב אלגאזי,11,
85,דבי ר' ישמעאל תנא,"תנא דבי רבי ישמעאל כך הלכה
דבי ר' ישמעאל תנא אינה הלכה",הליכות עולם,11,
86,דבר אחר,יש קושיא בדרך הראשון,"של""ה",11,
87,דבר הלמד מענינו ודבר הלמד מסופו ,"דבר הלמד מענינו : שנלמוד מן הענין המפורש הסמוך לו
ודבר הלמד מסופו :שנלמוד מן הענין עצמו",הליכות עולם,11,
88,דבר תורה,"דבר תורה ממש, ומשמע הלכה למשה מסיני ",כללי התלמוד,11,
89,דברה תורה כלשון בני אדם,איכא מאן דאית ליה דברה תורה כלשון בני אדם ולא דרשינן הכפולות ואיכא מאן דלית ליה הכי ודרשינן הכפולות,הליכות עולם,11,
90,דברי הכל,דברי כל באי עולם - לא רק תנאים ואמוראים ,יד מלאכי ,11,
91,דייקא נמי דקתני,מדייקים את אותו הדיוק למרות שהוא פשוט,גופי הלכות,8,
92,דילמא,דחיה ,יד מלאכי ,11,
